assembly_accession	species	subsp	strain
GCF_016944635.1	Escherichia coli		EM03-18-08
GCF_016944655.1	Escherichia coli		EF7-18-51
GCF_016944675.1	Escherichia coli		EF5-18-41
GCF_016944695.1	Escherichia coli		EH10-18-47
GCF_016944715.1	Escherichia coli		EH09-18-41
GCF_016944735.1	Escherichia coli		EH08-18-36
GCF_016944755.1	Escherichia coli		EH01-18-04-A
GCF_016944775.1	Escherichia coli		EH01-18-02
GCF_017088405.1	Escherichia coli		99COLEC
GCF_017088425.1	Escherichia coli		88COLEC
GCF_017088445.1	Escherichia coli		40EC
GCF_017088465.1	Escherichia coli		65COLEC
GCF_017088485.1	Escherichia coli		30COLEC
GCF_017161035.1	Escherichia coli		C439
GCF_017161345.1	Escherichia coli		RCAD0514
GCF_017310055.1	Escherichia coli		LZYWN_4
GCF_017310445.1	Escherichia coli		IR53017
GCF_017338715.1	Escherichia coli		11202
GCF_017348835.2	Escherichia coli		E105
GCF_017352035.1	Escherichia coli		EcPNK004
GCF_017352055.1	Escherichia coli		EcPNK006
GCF_017352075.1	Escherichia coli		EcPF20
GCF_017355065.1	Escherichia coli		P1
GCF_017355085.1	Escherichia coli		P3
GCF_017355105.1	Escherichia coli		P8
GCF_017355125.1	Escherichia coli		P68
GCF_017355145.1	Escherichia coli		P14
GCF_017356665.1	Escherichia coli		UPEC129
GCF_017357505.1	Escherichia coli		ATCC 25922
GCF_017579865.1	Escherichia coli		AR Bank #0346
GCF_017603565.1	Escherichia coli		SB0258h1
GCF_017638965.1	Escherichia coli		SBF45
GCF_017638985.1	Escherichia coli		SBF22
GCF_017639005.1	Escherichia coli		P19_598
GCF_017639025.1	Escherichia coli		OW1E2
GCF_017639045.1	Escherichia coli		ESBL_DR28
GCF_017639105.1	Escherichia coli		ABW_S38
GCF_017639125.1	Escherichia coli		ABW_A33
GCF_017639145.1	Escherichia coli		ABW_A32
GCF_017639165.1	Escherichia coli		027_SK3
GCF_017639185.1	Escherichia coli		ABW_A19
GCF_017654165.1	Escherichia coli		LWY6
GCF_017654585.1	Escherichia coli		ABW_S22
GCF_017743075.1	Escherichia coli		EC-JS426
GCF_017815815.1	Escherichia coli		SCU-101
GCF_017868515.1	Escherichia coli		QDFD216
GCF_017896185.1	Escherichia coli		BW25113 frmA KO wo pUD9
GCF_017896205.1	Escherichia coli		BW25113 frmA KO
GCF_017896225.1	Escherichia coli		BW25113 frmA ihfA KO
GCF_017900955.1	Escherichia coli		JA0265
GCF_017900975.1	Escherichia coli		JA0266
GCF_017900995.1	Escherichia coli		JA0257
GCF_017901015.1	Escherichia coli		NC101
GCF_017903455.1	Escherichia coli		PK5074
GCF_018069725.1	Escherichia coli		MES1
GCF_018075285.1	Escherichia coli		EC2341
GCF_018075345.1	Escherichia coli		T159A
GCF_018128405.1	Escherichia coli		3347558
GCF_018141125.1	Escherichia coli		EC31
GCF_018141145.1	Escherichia coli		EC50
GCF_018199975.1	Escherichia coli		EC11
GCF_018208275.1	Escherichia coli		179
GCF_018208295.1	Escherichia coli		179A
GCF_018208315.1	Escherichia coli		71
GCF_018208335.1	Escherichia coli		91A
GCF_018223665.1	Escherichia coli		MFDS1006657
GCF_018255835.1	Escherichia coli		SH19PTE6
GCF_018279085.1	Escherichia coli		J-8
GCF_018279125.1	Escherichia coli		19-5
GCF_018279585.1	Escherichia coli		ATCC 98082
GCF_018316615.1	Escherichia coli		EC16
GCF_018323825.1	Escherichia coli		Ec387
GCF_018343835.1	Escherichia coli		JA0072
GCF_018361365.1	Escherichia coli		184/2aE
GCF_018394415.1	Escherichia coli		CS18F
GCF_018415975.1	Escherichia coli		TCM_B_2
GCF_018415995.1	Escherichia coli		EC_J_9
GCF_018417715.1	Escherichia coli		K-12 J53
GCF_018460065.1	Escherichia coli		no107
GCF_900088105.1	Escherichia coli		E. coli RL465
GCF_900096785.1	Escherichia coli		102
GCF_900096795.1	Escherichia coli		103
GCF_900096805.1	Escherichia coli		107
GCF_900096815.1	Escherichia coli		105
GCF_900096825.1	Escherichia coli		104
GCF_900096835.1	Escherichia coli		109
GCF_900096845.1	Escherichia coli		106
GCF_900096855.1	Escherichia coli		108
GCF_900096865.1	Escherichia coli		101
GCF_900174625.1	Escherichia coli		WI1 isolate
GCF_900174635.1	Escherichia coli		WI2 isolate
GCF_900184875.1	Escherichia coli		6666666.257727.embl
GCF_900186905.1	Escherichia coli		NCTC122
GCF_900474445.1	Escherichia coli		NCTC9966
GCF_900474495.1	Escherichia coli		NCTC11023
GCF_900474625.1	Escherichia coli		NCTC9967
GCF_900497095.1	Escherichia coli		EC-TO75
GCF_900497415.1	Escherichia coli		EC-TO143
GCF_900497455.1	Escherichia coli		EC-7215
GCF_900497485.1	Escherichia coli		EC-1639
GCF_900520285.1	Escherichia coli		Escherichia coli str. TO6
GCF_900520305.1	Escherichia coli		Escherichia coli str. TO73
GCF_900520325.1	Escherichia coli		Escherichia coli str. TO60
GCF_900520345.1	Escherichia coli		Escherichia coli str. TO124
GCF_900520365.1	Escherichia coli		Escherichia coli str. TO217
GCF_900520385.1	Escherichia coli		Escherichia coli str. 3426
GCF_900520395.1	Escherichia coli		Escherichia coli str. TO148
GCF_900618295.1	Escherichia coli		ecoli019
GCF_900622635.1	Escherichia coli		B36
GCF_900622655.1	Escherichia coli		MS14385
GCF_900622665.1	Escherichia coli		MS14386
GCF_900622685.1	Escherichia coli		MS14387
GCF_900622695.1	Escherichia coli		MS14384
GCF_900635145.1	Escherichia coli		NCTC9066
GCF_900635165.1	Escherichia coli		NCTC11151
GCF_900635175.1	Escherichia coli		NCTC9084
GCF_900635185.1	Escherichia coli		NCTC9112
GCF_900635205.1	Escherichia coli		NCTC9082
GCF_900635215.1	Escherichia coli		NCTC9038
GCF_900635325.1	Escherichia coli		NCTC10444
GCF_900635635.1	Escherichia coli		NCTC9104
GCF_900636005.1	Escherichia coli		NCTC11476
GCF_900636045.1	Escherichia coli		NCTC10973
GCF_900636055.1	Escherichia coli		NCTC11121
GCF_900636075.1	Escherichia coli		NCTC11129
GCF_900636105.1	Escherichia coli		NCTC9088
GCF_900636115.1	Escherichia coli		NCTC9102
GCF_900636125.1	Escherichia coli		NCTC9699
GCF_900636145.1	Escherichia coli		NCTC9087
GCF_900636175.1	Escherichia coli		NCTC8623
GCF_900636195.1	Escherichia coli		NCTC9008
GCF_900636215.1	Escherichia coli		NCTC9022
GCF_900636235.1	Escherichia coli		NCTC9100
GCF_900636245.1	Escherichia coli		NCTC9107
GCF_900636295.1	Escherichia coli		NCTC9040
GCF_900636305.1	Escherichia coli		NCTC10537
GCF_900636595.1	Escherichia coli		NCTC9080
GCF_900636605.1	Escherichia coli		NCTC9041
GCF_900636785.1	Escherichia coli		NCTC9113
GCF_900636795.1	Escherichia coli		NCTC9064
GCF_900747775.1	Escherichia coli		f974b26a-5e81-11e8-bf7f-3c4a9275d6c8
GCF_900747785.1	Escherichia coli		f9610206-5e81-11e8-bf7f-3c4a9275d6c8
GCF_901733115.1	Escherichia coli		EcMAD1
GCF_902810275.1	Escherichia coli		SC422
GCF_902810285.1	Escherichia coli		SC406
GCF_902810295.1	Escherichia coli		SC407
GCF_902810315.1	Escherichia coli		SC434
GCF_902810325.1	Escherichia coli		SC423
GCF_902810335.1	Escherichia coli		SC418
GCF_902810345.1	Escherichia coli		SC455
GCF_902810365.1	Escherichia coli		SC487
GCF_902810375.1	Escherichia coli		SC492
GCF_902810385.1	Escherichia coli		SC475
GCF_902810395.1	Escherichia coli		SC477
GCF_902810405.1	Escherichia coli		SC480
GCF_902810415.1	Escherichia coli		SC476
GCF_902825205.1	Escherichia coli		SC467
GCF_904426485.1	Escherichia coli		ecotype=Quinolone resistant 2015-01-2097
GCF_904711265.1	Escherichia coli		ecotype=Quinolone resistant 2014-01-7375
GCF_904711295.1	Escherichia coli		ecotype=Quinolone resistant 2015-01-466
GCF_904711305.1	Escherichia coli		ecotype=Quinolone resistant 2016-02-324
GCF_904799825.1	Escherichia coli		ecotype=Quinolone resistant 2016-17-292
GCF_904830965.1	Escherichia coli		L2_E1649
GCF_904830975.1	Escherichia coli		L3_CS7_E2980
GCF_904831805.1	Escherichia coli		L7_E1373_ETEC
GCF_904831825.1	Escherichia coli		L3_E36_ETEC
GCF_904831835.1	Escherichia coli		L4_E1441_ETEC
GCF_904831875.1	Escherichia coli		L5_E1779_ETEC
GCF_904833135.1	Escherichia coli		L1_E925
GCF_904842665.1	Escherichia coli		ecotype=Quinolone resistant 2016-17-550
GCF_904863105.1	Escherichia coli		MINF_1D-sc-2280456
GCF_904863235.1	Escherichia coli		MINF_7C-sc-2280452
GCF_904863255.1	Escherichia coli		MINF_9A-sc-2280436
GCF_904863305.1	Escherichia coli		MSB1_3B-sc-2280406
GCF_904863375.1	Escherichia coli		MINF_1A-sc-2280431
GCF_904863385.1	Escherichia coli		MSB1_1A-sc-2280383
GCF_904863445.1	Escherichia coli		MSB1_9D-sc-2280338
GCF_904864555.1	Escherichia coli		MSB1_7C-sc-2280317
GCF_904864615.1	Escherichia coli		MSB1_7A-sc-2280394
GCF_904864635.1	Escherichia coli		MSB2_1A-sc-2280429
GCF_904865655.1	Escherichia coli		MSB1_8B-sc-2280300
GCF_904865835.1	Escherichia coli		MSB1_9I-sc-2280417
GCF_904866225.1	Escherichia coli		MSB1_8G-sc-2280388
GCF_904866305.1	Escherichia coli		MINF_2E-sc-2280463
GCF_904866345.1	Escherichia coli		MINF_8D-sc-2280460
GCF_904866455.1	Escherichia coli		MSB1_4E-sc-2280348
GCF_904866495.1	Escherichia coli		MSB1_6C-sc-2280315
GCF_905071835.1	Escherichia coli		MSB1_4I-sc-2280412
GCF_905071865.1	Escherichia coli		MSB1_1D-sc-2280324
GCF_001559615.2	Escherichia coli		B C2566
GCF_001559635.1	Escherichia coli		B C3029
GCF_000800765.1	Escherichia coli		K-12 ER3413
GCF_000974405.1	Escherichia coli		K-12 MG1655
GCF_000974465.1	Escherichia coli		K-12 MG1655
GCF_000974505.1	Escherichia coli		K-12 MG1655
GCF_000974535.1	Escherichia coli		K-12 MG1655
GCF_000974575.1	Escherichia coli		K-12 MG1655
GCF_000974825.1	Escherichia coli		K-12 MG1655
GCF_000974865.1	Escherichia coli		K-12 MG1655
GCF_000974885.1	Escherichia coli		K-12 MG1655
GCF_000981485.1	Escherichia coli		K-12 substr. AG100
GCF_001020945.2	Escherichia coli		K-12 substr. GM4792
GCF_001021005.2	Escherichia coli		K-12 substr. GM4792
GCF_001559655.1	Escherichia coli		K-12 DHB4
GCF_001559675.1	Escherichia coli		K-12 C3026
GCF_009832885.1	Escherichia coli		K-12
GCF_015534855.1	Escherichia coli		K-12 BW25113
GCF_015534935.1	Escherichia coli		K-12 CETR3G40
GCF_015534955.1	Escherichia coli		K-12 CETR2G40
GCF_015534975.1	Escherichia coli		K-12 CETR1G40
GCF_015534995.1	Escherichia coli		K-12 BZKR3G40
GCF_015535015.1	Escherichia coli		K-12 BZKR2G40
GCF_015535035.1	Escherichia coli		K-12 BZKR1G40
GCF_001307215.1	Escherichia coli		O157:H7 WS4202 laboratory strain
GCF_001558995.2	Escherichia coli		O157:H7 JEONG-1266
GCF_001651925.2	Escherichia coli		O157:H7 FRIK2069
GCF_001651945.2	Escherichia coli		O157:H7 FRIK2533
GCF_001651965.2	Escherichia coli		O157:H7 FRIK2455
GCF_001695515.1	Escherichia coli		O157:H7 FRIK944
GCF_001753445.1	Escherichia coli		O157:H7 1130
GCF_001753465.1	Escherichia coli		O157:H7 2149
GCF_001753485.1	Escherichia coli		O157:H7 8368
GCF_001753505.1	Escherichia coli		O157:H7 2159
GCF_001753525.1	Escherichia coli		O157:H7 9234
GCF_001753545.1	Escherichia coli		O157:H7 3384
GCF_001753565.1	Escherichia coli		O157:H7 4276
GCF_003722195.1	Escherichia coli		O157:H7 TR01
GCF_003966795.1	Escherichia coli		O157:H7 PV15-279
GCF_004118915.1	Escherichia coli		O157:H7 C1-057
GCF_005037735.1	Escherichia coli		O157:H7 FWSEC0004
GCF_005885915.1	Escherichia coli		O157:H7 ECP17-1298
GCF_005885955.1	Escherichia coli		O157:H7 ECP17-46
GCF_009627495.1	Escherichia coli		O157:H7 TT12B
GCF_009650175.1	Escherichia coli		O157:H7 ATCC 43890
GCF_013167135.1	Escherichia coli		O157:H7 F8492
GCF_013167155.1	Escherichia coli		O157:H7 YB14-1
GCF_013167175.1	Escherichia coli		O157:H7 TX 376-2
GCF_013167255.1	Escherichia coli		O157:H7 TB182A
GCF_013167275.1	Escherichia coli		O157:H7 SS TX 754-1
GCF_013167295.1	Escherichia coli		O157:H7 SS TX 313-1
GCF_013167315.1	Escherichia coli		O157:H7 SS NE 1040-1
GCF_013167335.1	Escherichia coli		O157:H7 Show KS 470-1
GCF_013167355.1	Escherichia coli		O157:H7 OK1
GCF_013167375.1	Escherichia coli		O157:H7 NE92
GCF_013167395.1	Escherichia coli		O157:H7 NE122
GCF_013167415.1	Escherichia coli		O157:H7 NE1127
GCF_013167435.1	Escherichia coli		O157:H7 NE 1169-1
GCF_013167455.1	Escherichia coli		O157:H7 NE 1092-2
GCF_013167475.1	Escherichia coli		O157:H7 N8B7-2
GCF_013167495.1	Escherichia coli		O157:H7 LSU61
GCF_013167515.1	Escherichia coli		O157:H7 H6437
GCF_013167535.1	Escherichia coli		O157:H7 H2495
GCF_013167575.1	Escherichia coli		O157:H7 G5295
GCF_013167595.1	Escherichia coli		O157:H7 F8952
GCF_013167615.1	Escherichia coli		O157:H7 F8798
GCF_013167635.1	Escherichia coli		O157:H7 F8797
GCF_013167675.1	Escherichia coli		O157:H7 F7508
GCF_013167695.1	Escherichia coli		O157:H7 F7386
GCF_013167715.1	Escherichia coli		O157:H7 F7349
GCF_013167735.1	Escherichia coli		O157:H7 F6667
GCF_013167755.1	Escherichia coli		O157:H7 F6321
GCF_013167775.1	Escherichia coli		O157:H7 F6294
GCF_013167795.1	Escherichia coli		O157:H7 F3113
GCF_013167815.1	Escherichia coli		O157:H7 F1273
GCF_013167875.1	Escherichia coli		O157:H7 E32511
GCF_013167935.1	Escherichia coli		O157:H7 DEC5E
GCF_013167975.1	Escherichia coli		O157:H7 DEC5D
GCF_013167995.1	Escherichia coli		O157:H7 DEC5B
GCF_013168015.1	Escherichia coli		O157:H7 DEC5A
GCF_013168035.1	Escherichia coli		O157:H7 DEC4E
GCF_013168055.1	Escherichia coli		O157:H7 BB24-1
GCF_013168075.1	Escherichia coli		O157:H7 ATCC 35150
GCF_013168095.1	Escherichia coli		O157:H7 86-24
GCF_013168115.1	Escherichia coli		O157:H7 493/89
GCF_013168135.1	Escherichia coli		O157:H7 17B6-2
GCF_013168155.1	Escherichia coli		O157:H7 3-5-1
GCF_013168175.1	Escherichia coli		O157:H7 2-6-2
GCF_013168195.1	Escherichia coli		O157:H7 7636
GCF_013168215.1	Escherichia coli		O157:H7 7409
GCF_013168235.1	Escherichia coli		O157:H7 2571
GCF_013168255.1	Escherichia coli		O157:H7 611
GCF_013343595.1	Escherichia coli		O157:H7 MB41-1
GCF_013343615.1	Escherichia coli		O157:H7 USDA5905
GCF_013343635.1	Escherichia coli		O157:H7 MB9-1
GCF_016458885.1	Escherichia coli		O157:H7 ECP19-198
GCF_016458905.1	Escherichia coli		O157:H7 ECP19-798
GCF_016458925.1	Escherichia coli		O157:H7 ECP19-598
GCF_016458945.1	Escherichia coli		O157:H7 ECP19-2498
GCF_017164755.1	Escherichia coli		O157:H7 Z1836
GCF_017164775.1	Escherichia coli		O157:H7 Z1835
GCF_017164795.1	Escherichia coli		O157:H7 Z1834
GCF_017164815.1	Escherichia coli		O157:H7 Z1833
GCF_017164835.1	Escherichia coli		O157:H7 Z1832
GCF_017164855.1	Escherichia coli		O157:H7 Z1831
GCF_017164875.1	Escherichia coli		O157:H7 Z1830
GCF_017164895.1	Escherichia coli		O157:H7 Z1826
GCF_017164915.1	Escherichia coli		O157:H7 Z1825
GCF_017164935.1	Escherichia coli		O157:H7 Z1816
GCF_017164955.1	Escherichia coli		O157:H7 Z1815
GCF_017164975.1	Escherichia coli		O157:H7 Z1814
GCF_017164995.1	Escherichia coli		O157:H7 Z1813
GCF_017165015.1	Escherichia coli		O157:H7 Z1812
GCF_017165035.1	Escherichia coli		O157:H7 Z1811
GCF_017165055.1	Escherichia coli		O157:H7 Z1769
GCF_017165075.1	Escherichia coli		O157:H7 Z1768
GCF_017165115.1	Escherichia coli		O157:H7 Z1723
GCF_017165135.1	Escherichia coli		O157:H7 Z1766
GCF_017165155.1	Escherichia coli		O157:H7 Z1626
GCF_017165215.1	Escherichia coli		O157:H7 Z1615
GCF_017165235.1	Escherichia coli		O157:H7 Z1504
GCF_017165255.1	Escherichia coli		O157:H7 Z1486
GCF_017165275.1	Escherichia coli		O157:H7 Z910
GCF_017165335.1	Escherichia coli		O157:H7 Z892
GCF_017165375.1	Escherichia coli		O157:H7 Z866
GCF_017165395.1	Escherichia coli		O157:H7 Z869
GCF_017165415.1	Escherichia coli		O157:H7 Z852
GCF_017165435.1	Escherichia coli		O157:H7 Z570
GCF_017357545.1	Escherichia coli		O157:H7 TT12A
GCF_000006665.1	Escherichia coli		O157:H7 str. EDL933
GCF_000732965.1	Escherichia coli		O157:H7 str. EDL933
GCF_900149875.1	Escherichia coli		O127:H6 EPEC1
GCF_900149915.1	Escherichia coli		O127:H6 EPEC E2348/69 variety 2
GCF_007990655.1	Escherichia coli		O111:H- 110512
GCF_016864435.1	Escherichia coli		O157:H- 3072/96
GCF_000007445.1	Escherichia coli		CFT073
GCF_014262945.1	Escherichia coli		CFT073
GCF_000027125.1	Escherichia coli		042
GCF_008042015.2	Escherichia coli		042
GCF_005037725.1	Escherichia coli		O26:H11 FWSEC0001
GCF_000019425.1	Escherichia coli		str. K-12 substr. DH10B
GCF_000210475.1	Escherichia coli		ETEC H10407
GCF_000010245.2	Escherichia coli		str. K-12 substr. W3110
GCF_001878695.1	Escherichia coli		str. K-12 substr. W3110 K-12 substr. ZK126
GCF_000714595.1	Escherichia coli		Nissle 1917
GCF_003546975.1	Escherichia coli		Nissle 1917
GCF_000017745.1	Escherichia coli		O139:H28 str. E24377A
GCF_000017765.1	Escherichia coli		HS
GCF_000167875.2	Escherichia coli		E110019
GCF_000013305.1	Escherichia coli		536
GCF_000013265.1	Escherichia coli		UTI89
GCF_014930875.1	Escherichia coli		UTI89
GCF_015644765.1	Escherichia coli		UTI89
GCF_005037795.1	Escherichia coli		O103:H2 FWSEC0007
GCF_000008865.2	Escherichia coli		O157:H7 str. Sakai Sakai substr. RIMD 0509952
GCF_000014845.1	Escherichia coli		APEC O1
GCF_000010385.1	Escherichia coli		SE11
GCF_000017985.1	Escherichia coli		B str. REL606
GCF_000010485.1	Escherichia coli		SE15
GCF_000019645.1	Escherichia coli		SMS-3-5
GCF_000021125.1	Escherichia coli		O157:H7 str. EC4115
GCF_000009565.1	Escherichia coli		BL21(DE3)
GCF_000022665.1	Escherichia coli		BL21(DE3)
GCF_013167015.1	Escherichia coli		BL21(DE3)
GCF_000019385.1	Escherichia coli		ATCC 8739
GCF_003591595.1	Escherichia coli		ATCC 8739
GCF_016864475.1	Escherichia coli		ATCC 8739
GCF_002079225.1	Escherichia coli		C
GCF_000155125.1	Escherichia coli		O157:H7 str. TW14588
GCF_000005845.2	Escherichia coli		str. K-12 substr. MG1655
GCF_000269645.1	Escherichia coli		str. K-12 substr. MG1655
GCF_000273425.1	Escherichia coli		str. K-12 substr. MG1655
GCF_000801205.1	Escherichia coli		str. K-12 substr. MG1655
GCF_001308065.1	Escherichia coli		str. K-12 substr. MG1655
GCF_001544635.1	Escherichia coli		str. K-12 substr. MG1655
GCF_001566335.1	Escherichia coli		str. K-12 substr. MG1655 JW5437-1 substr. MG1655
GCF_002843685.1	Escherichia coli		str. K-12 substr. MG1655
GCF_002966145.1	Escherichia coli		str. K-12 substr. MG1655
GCF_003627195.1	Escherichia coli		str. K-12 substr. MG1655
GCF_015291845.1	Escherichia coli		str. K-12 substr. MG1655
GCF_904425475.1	Escherichia coli		str. K-12 substr. MG1655
GCF_013166975.1	Escherichia coli		BL21
GCF_014263375.1	Escherichia coli		BL21
GCF_000023365.1	Escherichia coli		DH1
GCF_000270105.1	Escherichia coli		DH1
GCF_000022225.1	Escherichia coli		O157:H7 str. TW14359
GCF_000184185.1	Escherichia coli		W
GCF_000258145.1	Escherichia coli		W
GCF_002024865.1	Escherichia coli		NU14
GCF_000091005.1	Escherichia coli		O26:H11 str. 11368
GCF_000026545.1	Escherichia coli		O127:H6 str. E2348/69
GCF_005037775.1	Escherichia coli		O91:H21 FWSEC0008
GCF_000026265.1	Escherichia coli		IAI1
GCF_000026285.1	Escherichia coli		S88
GCF_000026245.1	Escherichia coli		55989
GCF_003028695.1	Escherichia coli		55989
GCF_000026325.1	Escherichia coli		UMN026
GCF_000026345.1	Escherichia coli		IAI39
GCF_000010745.1	Escherichia coli		O103:H2 str. 12009
GCF_000010765.1	Escherichia coli		O111:H- str. 11128
GCF_000026305.1	Escherichia coli		ED1a
GCF_000284495.1	Escherichia coli		LF82
GCF_000147855.2	Escherichia coli		KO11FL
GCF_000258025.1	Escherichia coli		KO11FL
GCF_000022345.1	Escherichia coli		K-12 substr. BW2952
GCF_000148365.1	Escherichia coli		ABU 83972
GCF_000750555.1	Escherichia coli		K-12 substr. BW25113
GCF_004355105.1	Escherichia coli		BW25113 AM187
GCF_016811855.1	Escherichia coli		BW25113 substr. CHXR1G20
GCF_016811875.1	Escherichia coli		BW25113 substr. CHXR2G20
GCF_016811895.1	Escherichia coli		BW25113 substr. CHXR3G20
GCF_000183345.1	Escherichia coli		O83:H1 str. NRG 857C
GCF_000212715.2	Escherichia coli		UMNK88
GCF_000025165.1	Escherichia coli		O55:H7 str. CB9615
GCF_000025745.1	Escherichia coli		IHE3034
GCF_000262125.1	Escherichia coli		Xuzhou21
GCF_000829985.1	Escherichia coli		1303
GCF_000831565.1	Escherichia coli		ECC-1470
GCF_000023665.1	Escherichia coli		'BL21-Gold(DE3)pLysS AG'
GCF_003697165.2	Escherichia coli		DSM 30083 = JCM 1649 = ATCC 11775
GCF_000146735.1	Escherichia coli		str. K-12 substr. MG1655star
GCF_000233895.1	Escherichia coli		str. 'clone D i14'
GCF_000233875.1	Escherichia coli		str. 'clone D i2'
GCF_000166535.2	Escherichia coli		TW10598
GCF_000827105.1	Escherichia coli		O157:H16 Santai
GCF_015571855.1	Escherichia coli		O157:H16 Res13-Lact-PEA12-26
GCF_001874485.1	Escherichia coli		O25b:H4
GCF_000285655.3	Escherichia coli		O25b:H4-ST131 EC958
GCF_014217135.1	Escherichia coli		O25b:H4-ST131 2019_APHA
GCF_014217155.1	Escherichia coli		O25b:H4-ST131 2017_APHA
GCF_015277555.1	Escherichia coli		O25b:H4-ST131
GCF_000968515.1	Escherichia coli		VR50
GCF_002844165.1	Escherichia coli		O121:H19 16-9255
GCF_005037715.1	Escherichia coli		O121:H19 FWSEC0006
GCF_005037815.1	Escherichia coli		O145:NM FWSEC0002
GCF_000219515.2	Escherichia coli		PCN033
GCF_002209105.2	Escherichia coli		O104:H4 FDAARGOS_348
GCF_002983645.1	Escherichia coli		O104:H4 FDAARGOS_349
GCF_003072445.1	Escherichia coli		O104:H4 LB226692
GCF_005014075.1	Escherichia coli		O104:H4 FWSEC0009
GCF_001650275.1	Escherichia coli		O157 180-PT54
GCF_001650295.1	Escherichia coli		O157 644-PT8
GCF_002208865.2	Escherichia coli		O157 FDAARGOS_293
GCF_008462425.1	Escherichia coli		O157 Al Ain
GCF_008727135.1	Escherichia coli		O157 AR-0430
GCF_008727155.1	Escherichia coli		O157 AR-0429
GCF_008727175.1	Escherichia coli		O157 AR-0428
GCF_008727195.1	Escherichia coli		O157 AR-0427
GCF_000986765.1	Escherichia coli		O104:H4 str. C227-11 368 shch
GCF_000245515.1	Escherichia coli		O55:H7 str. RM12579
GCF_000220005.1	Escherichia coli		UMNF18
GCF_003112185.1	Escherichia coli		O26 str. RM8426
GCF_003112225.1	Escherichia coli		O26 str. RM10386
GCF_014607535.1	Escherichia coli		O145 RM10425-C1
GCF_014607575.1	Escherichia coli		O145 RM12522-C8
GCF_014622965.1	Escherichia coli		O145 RM12275-C1
GCF_014623245.1	Escherichia coli		O145 RM9467-C1
GCF_014623405.1	Escherichia coli		O145 RM12367-C1
GCF_014623425.1	Escherichia coli		O145 RM9873-C1
GCF_003112165.1	Escherichia coli		O103 str. RM8385
GCF_003112205.1	Escherichia coli		O43 str. RM10042
GCF_003112245.1	Escherichia coli		O111 str. RM9322
GCF_003586065.1	Escherichia coli		O145 str. RM9872
GCF_000227625.1	Escherichia coli		O7:K1 str. CE10
GCF_005014055.1	Escherichia coli		O113:H21 FWSEC0010
GCF_005171095.1	Escherichia coli		O113:H21 FWSEC0011
GCF_000299455.1	Escherichia coli		O104:H4 str. 2011C-3493
GCF_000299475.1	Escherichia coli		O104:H4 str. 2009EL-2071
GCF_000299255.1	Escherichia coli		O104:H4 str. 2009EL-2050
GCF_003433275.1	Escherichia coli		NCCP15648
GCF_000800215.1	Escherichia coli		K-12 ER2796
GCF_000671295.1	Escherichia coli		O145:H28 str. RM12581
GCF_000520035.1	Escherichia coli		O145:H28 str. RM13514
GCF_000662395.1	Escherichia coli		O145:H28 str. RM12761
GCF_000520055.1	Escherichia coli		O145:H28 str. RM13516
GCF_000332755.1	Escherichia coli		APEC O78
GCF_001051135.1	Escherichia coli		ACN001
GCF_000730345.1	Escherichia coli		O157:H7 str. SS17
GCF_000813165.1	Escherichia coli		APEC IMT5155
GCF_000803705.1	Escherichia coli		O157:H7 str. SS52
GCF_000464955.2	Escherichia coli		O104:H21 str. CFSAN002236 ATCC BAA-178
GCF_000468515.1	Escherichia coli		LY180
GCF_013167655.1	Escherichia coli		O157:H7 str. F8092B
GCF_000493755.1	Escherichia coli		JJ1886
GCF_001593565.1	Escherichia coli		JJ1887
GCF_001029125.1	Escherichia coli		PCN061
GCF_000493595.2	Escherichia coli		PMV-1
GCF_001021615.1	Escherichia coli		APEC O18
GCF_000765435.1	Escherichia coli		FAP1
GCF_000725305.1	Escherichia coli		KLY
GCF_001610755.1	Escherichia coli		str. Sanji
GCF_002741435.1	Escherichia coli		O169:H41 2014EL-1345-2
GCF_002741495.1	Escherichia coli		O169:H41 F6326-C1
GCF_002741175.1	Escherichia coli		O25:NM 2014EL-1343-2
GCF_002269325.1	Escherichia coli		O6:H16 2011EL-1370-2
GCF_002741195.1	Escherichia coli		O6:H16 2014EL-1346-6
GCF_002741575.1	Escherichia coli		O6:H16 M9682-C1
GCF_008124085.1	Escherichia coli		O2:H6 PG20180057
GCF_001021635.2	Escherichia coli		APEC O2-211
GCF_009618015.1	Escherichia coli		O8:H8 16F5M1D1
GCF_002741255.1	Escherichia coli		O114:H49 90-9280
GCF_002741455.1	Escherichia coli		O128:H27 90-9281
GCF_002741595.1	Escherichia coli		O178:H19 2012C-4431
GCF_002741315.1	Escherichia coli		O25:H16 F5505-C1
GCF_002741475.1	Escherichia coli		O27:H7 B4103-1
GCF_016756455.1	Escherichia coli		O25:H4 18044
GCF_004771135.1	Escherichia coli		O18:H1 CFSAN067215
GCF_009728565.1	Escherichia coli		O22:H8 RM10809-3
GCF_015571735.1	Escherichia coli		O39:H21 Res13-Lact-PEB08-01
GCF_006777045.1	Escherichia coli		O1:H42 CLSC36
GCF_013282315.1	Escherichia coli		O10:H32 NMBU-W12E19
GCF_008124105.1	Escherichia coli		O16:H48 PG20180171
GCF_008124125.1	Escherichia coli		O16:H48 PG20180172
GCF_008124145.1	Escherichia coli		O16:H48 PG20180170
GCF_008124165.1	Escherichia coli		O16:H48 PG20180175
GCF_008124185.1	Escherichia coli		O16:H48 PG20180173
