assembly_accession	origin	terminus	length
GCF_001655275.1	2460	555350	1139722
GCF_001655315.1	2460	554100	1138471
GCF_001655355.1	2460	555360	1139641
GCF_001655395.1	2460	559560	1139594
GCF_001655435.1	2460	555440	1139829
GCF_001655475.1	2460	560020	1140059
GCF_001655515.1	2460	559860	1139865
GCF_001655555.1	2460	559760	1139777
GCF_001712895.1	2460	559190	1139168
GCF_001712915.1	2460	559190	1139148
GCF_001712935.1	2460	559200	1139067
GCF_001712955.1	2460	559190	1139143
GCF_001712975.1	2460	559190	1139126
GCF_001712995.1	2460	559190	1139178
GCF_001713015.1	2460	559190	1139145
GCF_001713035.1	2460	558920	1138929
GCF_001713055.1	2460	559160	1139184
GCF_001713075.1	2460	559170	1139185
GCF_001713095.1	2460	559160	1139159
GCF_001713115.1	2460	559190	1139151
GCF_001713135.1	2460	559180	1139129
GCF_001713155.1	2460	559180	1139138
GCF_001713175.1	2460	559150	1139146
GCF_001713195.1	2460	559190	1139130
GCF_001713215.1	2460	559190	1139123
GCF_001713235.1	2460	559190	1139132
GCF_001713255.1	2460	559160	1139131
GCF_001713275.1	2460	559190	1139163
GCF_001713295.1	2460	559150	1139135
GCF_001713315.1	2460	559160	1139137
GCF_001713335.1	2460	559190	1139158
GCF_001761515.1	2460	559160	1139160
GCF_001761565.1	2460	559160	1139139
GCF_001941545.1	2460	555540	1139844
GCF_003055985.1	2460	559520	1139510
GCF_003627115.1	2460	555210	1139526
GCF_005311045.1	2460	559440	1139445
GCF_005311065.1	2460	555340	1139665
GCF_005311085.1	2460	555240	1139543
GCF_005311105.1	2460	555450	1139773
GCF_005311125.1	2460	554810	1139123
GCF_005311145.1	2460	559370	1139415
GCF_005311165.1	2460	559560	1139568
GCF_005311185.1	2460	559510	1139522
GCF_005311205.1	2460	559380	1139423
GCF_005311445.1	2460	554980	1139301
GCF_005341485.1	2460	559550	1139592
GCF_005408385.1	2460	559560	1139569
GCF_005408405.1	2460	559060	1139058
GCF_005885795.1	2460	559830	1139838
GCF_015239315.1	2460	559560	1139569
GCF_015239335.1	2460	559560	1139569
GCF_015239355.1	2460	559560	1139569
GCF_015239375.1	2460	559560	1139569
GCF_015239395.1	2460	559560	1139569
GCF_015239415.1	2460	555310	1139633
GCF_008152505.1	3428590	1846310	3436741
GCF_008152665.1	2443960	854790	3244101
GCF_008152825.1	3438430	1856860	3446583
GCF_008153055.1	3420	1552860	3186808
GCF_008153205.1	3700630	1997000	3708782
GCF_008153345.1	232100	1912910	3372116
GCF_013348685.1	228100	1806910	3188924
GCF_013388315.1	2225950	507120	3769422
GCF_017161245.1	126930	1809320	3120315
GCF_017161285.1	506930	1868830	2880698
GCF_002271195.1	2430	555490	1139577
GCF_002271235.1	2430	555490	1139577
GCF_003076575.1	2430	555710	1139772
GCF_003611295.1	2430	555670	1139764
GCF_003611315.1	2430	555380	1139464
GCF_003952805.1	2430	555490	1139578
GCF_005222565.1	3760	2146370	4306144
GCF_005222585.1	4293490	2107560	4293951
GCF_005222625.1	4259910	2019720	4497709
GCF_009884035.1	4229910	2092930	4233607
GCF_009884055.1	4210700	2086630	4213733
GCF_009884075.1	4211250	2086000	4214555
GCF_009884095.1	4204400	2086070	4206042
GCF_009884115.1	4209930	2076440	4213648
GCF_009884135.1	4210460	2076860	4214175
GCF_009884175.1	4210610	2076940	4214328
GCF_009884195.1	4209260	2076130	4212939
GCF_009884255.1	4210400	2084340	4213431
GCF_009884275.1	4219780	2081630	4223477
GCF_009858015.1	35010	1935240	3580756
GCF_009858035.1	35010	1933550	3579904
GCF_009858055.1	35010	1935320	3580481
GCF_009858075.1	35020	1871060	3513910
GCF_009858095.1	92540	1992190	3581767
GCF_009884155.1	66960	2047410	3601002
GCF_009884215.1	35020	1933320	3580531
GCF_009884235.1	92540	1993420	3581013
GCF_018399095.1	12140	1792650	3595796
GCF_018402785.1	12140	1786530	3595870
GCF_018402805.1	3306850	1523500	3595582
GCF_018402825.1	12140	1786420	3595436
GCF_018402845.1	12140	1786430	3595898
GCF_018403805.1	12140	1787420	3596207
GCF_018403825.1	12140	1786550	3595848
GCF_008118365.1	1990	2255640	4355568
GCF_000632475.1	2979240	1402220	3064393
GCF_001315015.1	56490	1645630	3005726
GCF_005222145.1	1762760	360990	3007857
GCF_005222165.1	1924790	569150	3007928
GCF_005222185.1	2542850	1073680	3065527
GCF_005222205.1	1481700	2937020	2941886
GCF_008274945.1	567090	2176090	2983263
GCF_008274965.1	567120	2226390	3035856
GCF_000954195.1	400	874170	1658607
GCF_001417615.1	70630	919340	1683224
GCF_001417635.1	1534570	720780	1663782
GCF_001417655.1	70640	933710	1711393
GCF_001639125.1	1660160	867560	1668523
GCF_001717605.1	1788270	943500	1797243
GCF_001865455.1	99690	943670	1687232
GCF_001865475.1	98480	930760	1665146
GCF_001865495.1	93170	980690	1695360
GCF_001865515.1	1659080	829860	1841551
GCF_001865535.1	1837220	989070	1837306
GCF_001865555.1	99690	944450	1695638
GCF_001936355.1	350	832080	1718974
GCF_002024185.1	2024940	906670	2033919
GCF_002407145.1	1669730	864870	1670005
GCF_002843985.1	390	824840	1705805
GCF_003030205.1	728030	1617520	1894971
GCF_004307315.1	400	884810	1684122
GCF_005517455.1	400	913860	1713481
GCF_008727315.1	1144890	342940	1715182
GCF_008727495.1	1471740	580010	1754049
GCF_009498195.1	1721340	917540	1721406
GCF_009498315.1	1699300	903010	1708396
GCF_009649055.1	538110	1343650	1670008
GCF_009730395.1	1425740	608500	1678432
GCF_010232325.1	883360	1726850	1728473
GCF_013391125.1	1645220	861400	1654173
GCF_013416175.1	1729630	839790	1731350
GCF_014705905.1	1664200	868750	1673158
GCF_014906165.1	1660930	858230	1661120
GCF_014906185.1	400	832670	1723814
GCF_014906205.1	1742120	940770	1742400
GCF_016127675.1	1653160	855240	1684121
GCF_018176575.1	1752340	951360	1761335
GCF_018176655.1	1752340	951360	1761334
GCF_018176875.1	490	864010	1781472
GCF_018176975.1	350	863460	1781471
GCF_011600845.2	260	987440	1956865
GCF_011600855.2	340	886850	1782312
GCF_011600945.2	340	916460	1777789
GCF_011600955.2	2065510	999510	2071525
GCF_011600995.2	340	900860	1810730
GCF_011601005.2	260	1017070	1956863
GCF_011601375.2	340	1047190	2019872
GCF_000759575.2	1770690	926110	1778460
GCF_001314285.1	1635520	816640	1635803
GCF_001412295.1	1610920	814910	1616662
GCF_001432345.1	160	772850	1565978
GCF_001457695.1	1766310	797410	1766442
GCF_001506185.1	1604550	761730	1642794
GCF_001506205.1	1630240	813170	1669766
GCF_001506225.1	1533530	715470	1633831
GCF_001506245.1	72850	843410	1642281
GCF_001506265.1	1630190	801030	1672553
GCF_001506285.1	1528020	707900	1668425
GCF_001506305.1	1631520	762720	1667602
GCF_001506345.1	1611880	761510	1665175
GCF_001506365.1	1609540	843470	1668335
GCF_001506385.1	1600370	778120	1637642
GCF_001506405.1	1599500	714040	1636128
GCF_001506425.1	1595080	766890	1633693
GCF_001506445.1	1594790	774740	1632718
GCF_001506465.1	1603340	786260	1649284
GCF_001506485.1	1605070	762120	1643038
GCF_001506505.1	1584820	767240	1631266
GCF_001506525.1	1627400	816060	1666051
GCF_001506545.1	1607700	762340	1644975
GCF_001506565.1	1593820	696600	1632509
GCF_001506585.1	1638290	811600	1675989
GCF_001506605.1	1526040	628990	1634109
GCF_001506625.1	1597060	769450	1633145
GCF_001506645.1	1507950	621800	1633596
GCF_001506665.1	1612150	708520	1645188
GCF_001506685.1	1633570	765920	1675952
GCF_001506705.1	1640000	797760	1679764
GCF_001506725.1	1633080	722830	1671231
GCF_001506745.1	1597810	772270	1635627
GCF_001506765.1	1599200	776920	1636377
GCF_001506785.1	1589650	691830	1635207
GCF_001506805.1	1604550	761520	1643938
GCF_001506825.1	1585350	710950	1631373
GCF_001506845.1	1630120	822610	1667224
GCF_001506865.1	1535730	706780	1636490
GCF_001506885.1	1594760	746480	1640646
GCF_001506905.1	1596880	706750	1635130
GCF_001506925.1	1622920	883920	1636223
GCF_001506945.1	1588600	758310	1657054
GCF_001506965.1	1595770	776360	1635237
GCF_001506985.1	1588450	762740	1632612
GCF_001507005.1	1598520	747500	1642694
GCF_001507025.1	1529230	714870	1669148
GCF_001507045.1	1605710	758420	1642497
GCF_001507065.1	1602770	754280	1641119
GCF_001507085.1	1578100	767170	1624545
GCF_001507105.1	1590150	691390	1634189
GCF_001507125.1	1621900	768190	1661567
GCF_001507145.1	1607570	763250	1645157
GCF_001507165.1	1605540	761270	1642039
GCF_001507185.1	1592620	772590	1635709
GCF_001507205.1	1536310	708540	1637207
GCF_001507225.1	1529700	709940	1629790
GCF_001507245.1	1578410	767450	1628907
GCF_001507265.1	1596850	771540	1633951
GCF_001563565.1	1644180	812850	1651183
GCF_001587015.1	1666140	844050	1672837
GCF_001587035.1	148360	966070	1681907
GCF_001865395.1	156890	993870	1694324
GCF_001865415.1	1726760	819930	1762596
GCF_001865435.1	1708440	754960	1744171
GCF_001870085.1	1713640	765190	1749868
GCF_001870105.1	1727300	811260	1763161
GCF_001951235.1	1821230	886920	1821520
GCF_001951255.1	1623980	809250	1629484
GCF_001951275.1	1623980	809250	1629485
GCF_001951295.1	1669770	814180	1669964
GCF_001951315.1	1667560	809280	1675330
GCF_001951335.1	1644260	814170	1644447
GCF_002024325.1	1607090	773910	1612586
GCF_002101355.1	1767920	818930	1774584
GCF_002209005.1	168400	971330	1768428
GCF_002209025.1	820	745280	1641468
GCF_002209045.1	1648670	812290	1649384
GCF_002209065.1	3240	743470	1620455
GCF_002214785.1	1619820	817190	1629704
GCF_002224325.1	1638990	818370	1645651
GCF_002224385.1	1614270	815270	1620303
GCF_002234455.1	1653980	831370	1659694
GCF_002407125.1	1301350	419280	1727779
GCF_002587105.1	634550	1465970	1690358
GCF_002587225.1	342700	1228810	1777799
GCF_003030185.1	449390	1306880	1831911
GCF_003060725.1	1697880	814630	1705686
GCF_003060745.1	1683760	814060	1684042
GCF_003060765.1	1608900	812620	1614396
GCF_003060785.1	1626400	813970	1634231
GCF_003368045.1	1655710	756900	1727122
GCF_003368065.1	1613870	780250	1652581
GCF_003368085.1	1593670	758470	1634294
GCF_003368105.1	1640360	728650	1681088
GCF_003368125.1	1571590	741630	1614027
GCF_003368145.1	1554780	750640	1605714
GCF_003368165.1	551330	1316890	1692979
GCF_003368185.1	1737310	948610	1747565
GCF_003368205.1	1525820	727490	1567232
GCF_003368225.1	1779480	797330	1793733
GCF_003368245.1	1610510	753340	1658441
GCF_004328905.1	1625500	802700	1625792
GCF_004924295.1	1602810	790820	1608510
GCF_007107025.1	1743770	810000	1743985
GCF_008386335.1	1645690	828540	1645980
GCF_008727335.1	518670	1366360	1690158
GCF_008727415.1	690350	1512250	1648007
GCF_008727435.1	125460	1040910	1714574
GCF_008727455.1	572120	1384800	1638392
GCF_009649035.1	1301310	419280	1759224
GCF_009939645.1	1709540	885410	1709614
GCF_009939665.1	1746840	885220	1747233
GCF_009939705.1	1747610	852590	1747687
GCF_009939725.1	1676720	852570	1676802
GCF_012220765.1	1658290	825710	1658567
GCF_012220945.1	941100	117820	1595099
GCF_012224585.1	1660460	798310	1660741
GCF_012224765.1	1665700	826900	1665977
GCF_012224905.1	1652080	841420	1652365
GCF_012225065.1	1652080	841420	1652366
GCF_012225225.1	1607980	775250	1608263
GCF_012225445.1	1607990	785970	1608273
GCF_012225685.1	1608080	785970	1608268
GCF_013177475.1	760	815750	1685647
GCF_013363775.1	1417880	623170	1619799
GCF_013363815.1	342660	1208570	1716134
GCF_013389555.1	1619700	816670	1619969
GCF_013389575.1	1644450	808630	1644732
GCF_013394995.1	1847720	859430	1854330
GCF_014082005.1	1066040	199170	1684050
GCF_014151305.1	1305090	571630	1618310
GCF_014151465.1	443450	1274410	1685166
GCF_014151665.1	1119320	283010	1684917
GCF_014151825.1	250570	987920	1631093
GCF_014151925.1	1314290	561810	1670507
GCF_014152105.1	737530	1660740	1684543
GCF_014152305.1	863550	74680	1629059
GCF_014152385.1	230130	1134100	1686162
GCF_014152565.1	1323010	442840	1684861
GCF_015245165.1	1601600	801290	1601863
GCF_016350125.1	1775330	892360	1775616
GCF_016458845.1	1656570	816940	1666451
GCF_016458865.1	1683010	863180	1692969
GCF_016600925.1	1775340	892370	1775624
GCF_017351955.1	1678070	811810	1678286
GCF_017352015.1	1675250	814850	1683056
GCF_017356685.1	1619210	816940	1629092
GCF_017356745.1	1661060	823630	1670938
GCF_017356765.1	1638670	821160	1638880
GCF_017356785.1	1664320	856510	1664509
GCF_017356805.1	1656740	856690	1666513
GCF_017356825.1	1626720	817270	1627008
GCF_017356845.1	1617520	817370	1627412
GCF_017356865.1	1619120	808850	1619314
GCF_017356885.1	1615940	817260	1625711
GCF_017356905.1	1615910	817270	1625802
GCF_017356945.1	1625370	817200	1625508
GCF_017356965.1	1636810	821280	1637100
GCF_017357025.1	1656570	816940	1666448
GCF_018176755.1	1680800	831390	1681082
GCF_900638165.1	1801100	814330	1801392
GCF_900638175.1	1658050	849990	1664663
GCF_900638185.1	715250	1626430	1822834
GCF_900638195.1	1660960	812000	1666666
GCF_900638205.1	1666580	844320	1666864
GCF_900638225.1	1628510	802430	1634025
GCF_900638285.1	1628840	802440	1634561
GCF_902385735.1	610	908060	1753385
GCF_001298465.1	800	897040	1840041
GCF_003048375.1	950	1021150	1975443
GCF_003048595.2	1890860	873270	1894099
GCF_003048615.2	840	978250	1987364
GCF_003048675.2	840	976560	2031332
GCF_003048685.2	240	953150	2051359
GCF_003048695.2	1925140	950550	1932636
GCF_003048775.2	540	903690	1831320
GCF_003048835.2	1710	988820	1998513
GCF_003048875.2	2022980	945740	2025227
GCF_015679945.1	840	937330	1943962
GCF_015679965.1	550	867760	1861371
GCF_015679985.1	540	851970	1800519
GCF_015680005.1	540	883090	1831655
GCF_015680025.1	2022390	1014670	2025058
GCF_013372125.1	1966030	1014160	1974918
GCF_902381815.1	1966230	1008750	1971264
GCF_001017575.1	1020	787220	1563032
GCF_010469945.1	711930	1442870	1520838
GCF_016726265.1	762230	3920	1513367
GCF_900638335.1	1100	772090	1542878
GCF_013372205.1	1750050	895780	1773478
GCF_004803795.1	2569120	1194110	2571679
GCF_004803815.1	2091340	1078070	2097887
GCF_900699785.1	1183780	2159980	2160580
GCF_002220775.1	750	826660	1681311
GCF_000685665.1	1485290	731960	1604233
GCF_000685705.1	123090	1032030	1659060
GCF_000685745.1	1485340	731960	1604212
GCF_000817025.1	1500370	671550	1586473
GCF_000827025.1	1635030	813500	1667303
GCF_001433515.1	1540690	652450	1624441
GCF_001653375.1	1372650	570280	1617826
GCF_001653395.1	1444910	573050	1614411
GCF_001653415.1	1499850	742300	1659899
GCF_001653435.1	1374530	571400	1510564
GCF_001653455.1	1393030	684800	1570310
GCF_001653475.1	1409000	599990	1531450
GCF_002222575.1	2560	842890	1576133
GCF_002357315.1	1522750	755050	1606460
GCF_002357355.1	1537910	644270	1626538
GCF_002357375.1	1506040	659810	1588584
GCF_002357395.1	1487760	689260	1575499
GCF_002357435.1	1508040	671420	1591903
GCF_002357455.1	1486040	622300	1571440
GCF_002357495.1	1500670	746460	1582399
GCF_002357515.1	1496100	710550	1578736
GCF_002357535.1	1551490	712920	1634312
GCF_002357555.1	1503980	681100	1585641
GCF_002357595.1	1475210	618000	1558697
GCF_002357615.1	1487040	646280	1570268
GCF_002357655.1	1502040	681350	1587581
GCF_002357675.1	1548110	662030	1631634
GCF_002357695.1	1496560	665490	1625760
GCF_002357715.1	1542260	662730	1627132
GCF_002357735.1	1506150	739240	1588119
GCF_002357775.1	1534830	654970	1617765
GCF_002357795.1	1516160	766690	1602776
GCF_002357815.1	1509790	747850	1592987
GCF_002357835.1	1487090	653770	1567867
GCF_002357855.1	1493810	666650	1577123
GCF_002906495.1	1640810	815780	1670779
GCF_002906535.1	1636500	813910	1666471
GCF_002906555.1	1636760	813910	1666735
GCF_002951975.1	2700	906050	1674002
GCF_002952175.1	2700	906060	1674142
GCF_002952195.1	2700	906240	1674070
GCF_002952275.1	2700	906240	1674115
GCF_002952395.1	2700	906270	1674004
GCF_002952415.1	2700	906270	1674005
GCF_002952435.1	2700	906040	1673998
GCF_002952455.1	2700	906240	1674015
GCF_002952475.1	2700	906240	1674013
GCF_002952495.1	2700	906240	1674013
GCF_002952515.1	2700	906250	1674018
GCF_002952535.1	2700	906250	1674019
GCF_002952555.1	2700	906050	1674009
GCF_002952575.1	2700	905990	1673951
GCF_002952595.1	2700	906050	1674009
GCF_002952615.1	2700	906060	1674020
GCF_002952635.1	2700	906250	1674026
GCF_002952655.1	2700	906050	1674010
GCF_002952675.1	2700	906280	1674018
GCF_002953555.1	1638760	813940	1668735
GCF_002983705.1	615580	1389030	1645738
GCF_003050665.1	844930	1675020	1680898
GCF_003636855.2	421500	1214460	1678260
GCF_003855475.1	2630	822960	1563701
GCF_003939085.1	1486870	733350	1645783
GCF_003957395.1	2540	849950	1637442
GCF_004088075.1	2550	829410	1514674
GCF_004088155.1	2620	835960	1535248
GCF_004295525.1	2540	902960	1680829
GCF_004295545.1	1396470	567540	1603093
GCF_006337265.1	5300	745700	1636444
GCF_006337285.1	4320	839000	1649543
GCF_006337305.1	1389600	539980	1580965
GCF_006337325.1	89890	826180	1588985
GCF_006337345.1	24820	910290	1611628
GCF_006337365.1	1509450	669520	1540135
GCF_006337385.1	2550	723550	1583343
GCF_006337405.1	1446210	608720	1709363
GCF_006337425.1	4320	870710	1634797
GCF_006337445.1	1388010	538270	1579431
GCF_006337465.1	2550	832590	1609437
GCF_006337485.1	2610	811300	1690720
GCF_006337625.1	27240	908910	1610187
GCF_006337745.1	2540	794180	1643421
GCF_006337875.1	6080	915920	1659500
GCF_006338045.1	1673700	898700	1679162
GCF_006338145.1	2550	722310	1582133
GCF_006338285.1	2550	800080	1599658
GCF_006338415.1	1446190	608440	1706376
GCF_006338545.1	2570	799860	1619300
GCF_006338685.1	2540	747090	1637783
GCF_006338815.1	4320	839800	1601381
GCF_006338945.1	2540	792630	1638022
GCF_006339065.1	27070	915560	1628623
GCF_006339235.1	2530	734730	1540214
GCF_006339365.1	2590	845630	1596986
GCF_006874685.1	1664310	829320	1695835
GCF_007794935.1	2550	905930	1675441
GCF_007836735.1	2630	786690	1643956
GCF_007836855.1	2550	907250	1676743
GCF_007843535.1	2540	886510	1631093
GCF_007843715.1	5280	901860	1648077
GCF_007843915.1	6080	861840	1726836
GCF_007844035.1	2540	915830	1663520
GCF_007844055.1	2540	786640	1646042
GCF_008026375.1	167900	922010	1632617
GCF_008026815.1	1587240	835530	1670200
GCF_008027235.1	518730	1321260	1645840
GCF_008027395.1	586630	1416460	1642343
GCF_008027775.1	1378110	624110	1634738
GCF_008032975.1	985730	208550	1613306
GCF_008033015.1	1344320	467210	1654849
GCF_008033075.1	78930	984600	1667946
GCF_008281125.1	1198500	407560	1658253
GCF_008326525.1	2080	771150	1604952
GCF_010917155.1	111590	903200	1643850
GCF_010917555.1	771380	1140	1642466
GCF_010917675.1	256870	1165330	1656646
GCF_011456275.1	1529560	671480	1563305
GCF_011456295.1	1529490	671410	1563239
GCF_011456315.1	1529530	671450	1563276
GCF_011456475.1	1529570	670190	1563317
GCF_011456665.1	1529760	671390	1563232
GCF_011456895.1	1532980	671460	1566721
GCF_011457115.1	1529800	670140	1563266
GCF_011457355.1	1529660	671440	1563411
GCF_011457615.1	1529560	670190	1563302
GCF_011457815.1	1529690	670160	1563438
GCF_011458015.1	1529650	671440	1563405
GCF_011458095.1	1529820	670150	1563292
GCF_011458315.1	1529530	670150	1563274
GCF_011462215.1	1529540	671450	1563290
GCF_011462375.1	1529530	671440	1563280
GCF_011462575.1	1528600	670230	1562072
GCF_011462735.1	1529860	671490	1563333
GCF_011462915.1	1529660	670150	1563409
GCF_011463035.1	1529670	671450	1563420
GCF_011463055.1	1529790	671430	1563260
GCF_011463175.1	1529520	671440	1563267
GCF_013122035.1	1656220	806120	1662371
GCF_013122055.1	1657560	806510	1663714
GCF_013122115.1	1657600	806510	1663751
GCF_016464445.1	1360	10200	18414
GCF_016464465.1	26130	11900	28396
GCF_016464475.1	74390	20660	102807
GCF_016464485.1	206420	96020	211157
GCF_016464525.1	70360	31240	81823
GCF_016464545.1	47050	134950	161520
GCF_016464565.1	250470	115790	251749
GCF_016464575.1	26810	870	48004
GCF_016747995.1	1530610	653060	1616437
GCF_016748085.1	1555000	810620	1640012
GCF_016748175.1	2110	890000	1704243
GCF_016748265.1	1527260	639860	1615144
GCF_016748415.1	1545620	763060	1630559
GCF_016748555.1	1660160	798310	1745797
GCF_016748675.1	1457490	704150	1618010
GCF_016748795.1	1504970	735710	1667949
GCF_016748925.1	1568410	764090	1651043
GCF_016749025.1	1716330	766800	1745296
GCF_016749085.1	1528990	658240	1619464
GCF_016749215.1	1555200	782640	1639295
GCF_016749335.1	1552010	717140	1638284
GCF_016749455.1	1483170	716170	1691877
GCF_016749575.1	1466890	678500	1629514
GCF_016749715.1	1564540	746270	1653624
GCF_016749815.1	1544620	762160	1628378
GCF_016755615.1	1529040	642060	1614092
GCF_016755635.1	1467930	678430	1630535
GCF_016755655.1	1485550	756710	1567616
GCF_016755675.1	1558880	705160	1644092
GCF_016755695.1	1528630	801330	1612861
GCF_016755715.1	1510450	656130	1592792
GCF_016755735.1	1587340	695450	1675432
GCF_016755755.1	1550090	658220	1635086
GCF_016755775.1	1529160	757250	1611185
GCF_016755795.1	1545340	658380	1627715
GCF_016755815.1	1533360	725610	1616651
GCF_016757535.1	1528030	648480	1615900
GCF_016757555.1	1566560	694260	1654099
GCF_016757575.1	1527120	668180	1609650
GCF_016757595.1	1587380	695460	1675471
GCF_017821235.1	1425230	681400	1628076
GCF_017821275.1	1458110	694330	1667928
GCF_017821355.1	1472520	711590	1685803
GCF_017821475.1	1459240	689310	1668381
GCF_017821535.1	1528810	690060	1615199
GCF_017821595.1	1481980	690110	1690568
GCF_017821615.1	1406650	674600	1622324
GCF_017821635.1	128660	951740	1661144
GCF_017821655.1	1450470	685810	1660636
GCF_900119955.1	1367930	546770	1667625
GCF_900119995.1	1364590	546770	1667804
GCF_900120055.1	1364670	546780	1667894
GCF_900120135.1	1364930	546990	1668174
GCF_900120185.1	1364650	546770	1667858
GCF_900120205.1	1370700	546770	1670384
GCF_900120225.1	1368280	546780	1667978
GCF_900120255.1	1364650	546770	1667821
GCF_900120275.1	1364710	546800	1667936
GCF_900120315.1	1367080	546700	1670321
GCF_900120335.1	1364650	546790	1667712
GCF_900149805.1	1368230	546700	1667883
GCF_900176185.1	783600	1633610	1682800
GCF_900638475.1	1540050	636000	1644315
GCF_902381665.1	1564340	813240	1566655
GCF_900198455.1	6050	748360	1550239
GCF_003130625.1	12810	996860	1995911
GCF_003213725.2	2124380	965060	2154041
GCF_003213825.2	2191610	1018590	2221266
GCF_003214155.2	2136320	965980	2165979
GCF_003574195.1	2166260	991760	2199263
GCF_014931095.1	1986810	983700	2228396
GCF_014931155.1	702590	1921550	2218389
GCF_902381705.1	2207130	976810	2240130
GCF_900476215.1	30910	897990	1576607
GCF_004328865.1	860	1838600	3633318
GCF_000740135.1	116780	1078090	2128683
GCF_000740155.1	1584780	443460	2125180
GCF_000740175.1	1930280	947900	2123620
GCF_000740295.1	1777340	793650	2124677
GCF_000740315.1	24980	1009130	2124832
GCF_000740945.1	656550	1639720	2125890
GCF_001043295.1	2003530	1019780	2116990
GCF_002262975.1	113450	1096510	2115329
GCF_002262995.1	2001760	1018700	2115221
GCF_002895145.1	2011480	1050120	2124241
GCF_003290345.1	2011240	1049920	2123997
GCF_003675365.1	1922590	939530	2115149
GCF_003994435.1	2013330	1051530	2132063
GCF_008761575.1	2006090	1040240	2119633
GCF_002022105.1	732070	2616830	3873125
GCF_002022145.1	1175860	3119350	4004759
GCF_002887275.1	732070	2616820	3873114
GCF_011612125.1	1884650	4340	3874794
GCF_900475375.1	1884650	4340	3874791
GCF_003815995.1	4320640	1669880	4865895
GCF_008705155.1	959110	2710740	3591742
GCF_009834475.1	603490	2568310	3794924
GCF_004328965.1	3064060	884400	4715692
GCF_016766875.1	909230	3552760	5643321
GCF_900636535.1	3520150	876620	5606922
GCF_002025665.1	5138360	2575410	5314748
GCF_002208925.2	4046980	1469300	5119391
GCF_002591275.1	4048390	1687150	4888827
GCF_003812605.1	1230130	3575070	4866345
GCF_003812865.1	4636300	2061200	4922946
GCF_003815935.1	3337080	735330	5058360
GCF_012273135.1	1540230	3798740	4799263
GCF_016694815.1	3135460	767730	4928298
GCF_018362995.1	3391220	1044670	5008467
GCF_900683405.1	3162290	741170	5069906
GCF_003815895.1	2695340	411130	4191778
GCF_003815915.1	310350	2645780	4253895
GCF_016657085.1	2856740	423900	4446568
GCF_016726985.1	3902500	1911260	4242475
GCF_016727005.1	3775460	1680130	4167722
GCF_016724845.1	2143440	4694330	5275260
GCF_016725325.1	1705570	4428470	5135302
GCF_016725645.1	1958650	4596710	5136872
GCF_901482695.1	1786230	5064940	5962893
GCF_001412545.1	910860	1887240	1899676
GCF_001611815.4	110930	1151110	1892174
GCF_001936015.1	102020	1052910	1877932
GCF_003955775.1	6020	1046950	1892855
GCF_003955795.1	1055000	14460	1893614
GCF_003955815.1	1520480	480550	1894185
GCF_000834965.1	55210	1134670	2005074
GCF_001880205.1	1868500	950900	1916455
GCF_001880245.1	1880410	888450	1890780
GCF_002952075.1	141610	1194910	2000087
GCF_004063735.1	1569840	236420	2858426
GCF_007165405.1	2190	966590	1929011
GCF_007165645.1	2190	965510	1928002
GCF_007182855.1	2040	1000420	1910731
